Comment
"OMG i never Belive that i will be able to loss weight again I have try several method by going to gyms and so many things I do,"
was not helpful to me thanks to @dr_wisdom_herbs who made it possible for me to be able to loss my weight with the use of
"his herbs and roots he ship to me, which i drink for just one month and my weight return to normal and now i am the most"
happiest creation on earth thanks to @dr_wisdom_herbs God Bless You Forever I Love You!!
@plumbodylovin great giveaway lol... I was skinny back in school & I cant even begin to tell you how many taunts I used to
receive... Khaati piti nai hai kya kuch... Like bruhhh!!! So annoying
I dont believe in body shaming at all
Eve i had faced bodyshaming but I don't care now @plumgoodness
Same i was under wait till my school days and being skinny was a bad phase
checking out @plumbodylovin . I was never body shamed but i am a victim of colorism
I hv been hving this
You will always find a syrup and cold/cough tablets from @cofsils_india in my bag
This was too needed in this weather
"I really have to be careful, because getting a cough is hell on my throat. Will definitely check it out."
That's wat i wanted for my father @cofsils_india
I am drooling over @ovenstory pizza
Haven't had pizza for so long
I miss hving cheese burst pizza
I need this pizza @ovenstroy
Oh wow I'm feeling so hungry
Girl this look is bomb af
OMG!!!! Me want!!!! Paryushan though....
Awaiting for the video
The word pretty is worthless without you
#letecomers #grassisgreeenish #cocreateyourjourney #iinstahash #wed25aug
@kri.sha_ ma'am kindly check your DM we have an offer for you thank you
Will definitely check this out
The product seems to be promising one
That watch caught my attention
Waiting for your video dear
Have to check out the collection of @2gudindia red and blue suits your much
Definitely checking out @2gudindia for their collection
Superb thought Krisha..
Always self love over everything! You are beautiful the way you are! Sharing this contest with my friends
This is an amazing giveaway
Like this . Wow.... Its really amazing
This is so inspiring All bodies are beautiful
"Girl I have Same experience, and totally agree with each word of yours, @plumbodylovin hope you win"
Yes every body is a beautiful body
Wow this one is absolutely adorable
Definitely body loving..an amazing initiative by @plumbodylovin
"Awesome initiative by @plumbodylovin . Some of my family members have commented about my thighs, but what do they"
know. Thick thighs save lives
"I have been and still facing fat shaming each day but its okay I love my body,Kuddos to @plumbodylovin"
Have been fat shammed all my life! Can totally relate @plumbodylovin
"Thts an amazing initiative by @plumbodylovin, definitely participating"
Cute need to try ths range
We should always love ourselves
Definitely Body loving always.
Thats a pretty amazing initiative by @plumbodylovin ...abt body shaming..who cares..what people think..kuch toh log kahenge
logo ka kaam hai kehna
The product seems to be an excellent one
Wow that s very inspiring
That was very inspiring
Yusssss ! You are soooooo inspiring !!!
Perspective is too good..
@cofsils_india This is really nice . Like it
@cofsils_india seems really helpful for curing cough
This is the essential product at this hour @cofsils_india
@cofsils_india is saviour for sure
I will get one for myself too by @cofsils_india
@cofsils_india is a saviour for sure
thank you for sharing it. Will surely be ordering it for myself.
@cofsils_india gargle is a must have to keep us protected from changing weather health issues
@cofsils_india have always made me feel better. They are a household staple.
Thats one of the most trusted
@cofsils_india is really amazing for cough and cold
This product looks amazing will try it
This product looks great. Will try
Wow such an informative post
This post was really informative
@cofsils_india amazing product to gargle
@cofsils_india has always been a savior
Already here for me
Wow such an informative post
Forever in love with this!!!
@ovenstory is my fav for pizzas
This is so tempting
Wow this looks so yum
Wow.. This is fabulous . I really like it
Seems like yummy pizzas
Can't wait to order from @ovenstory
this is so amazing. they have the best pizza
Seems yumm would surely love it
I love ordering from @ovenstory whenever I want to snack on pizzas
@ovenstory amazing cheesy pizzaaa
Pizza is forever love
@ovenstory pizzas are my favorite anyday
That's a pretty shot
I love your styling babe
Hahah nice caption & pic
You look pretty in this one
This is such a beautiful shot
Hehe true you look pretty
Wwoww . That is fabulous
Such a stunning picture
this is totally me as well
Aww u look incredibly cute
Thats pretty awesome shot love that black zipper
What a beautiful shot love the editing
Its so relatable..bte nice click
Love this shot krisha so amazing
Look at that perfect wing
You look really pretty. And I absolutely loved your top
Hahah... caption perfectly sums up the capture
This is so relatable and cute
"Wow, that a beautiful shot"
That's such an amazing post
Now you are looking very beautiful .nice pic
"Aww, this is such a cute shot"
You are so pretty. Love ur smile
Really like the aesthetics
That's an amazing shot
Hehe so cuteeeeeee
So beautiful babe!!
You are so pretty ya!
Gorgeous looks n stunning photography
Hey dear you are looking adorable
Beautiful. And the shrug is
STUNNING ! WHOAAAAA!
Loved the top that you are wearing
The top looks so awesome
I love what you are wearing.. @2gudindia
waiting for your video ..excited
This top looks lovely
"Love your top, excited for the video"
"Nice shot , you look gorgeous"
"Such an amazing outfit and you, looking so fabbb"
Looking so beautiful as always.
I love the colour combination @2gudindia
This outfit looks beautiful
Awesome combo you look beautiful
The dress is so cute from @2gudindia
Love the combo completely here @2gudindia
This combo is best you are looking lovely
Red is my all time favorite and you look superb
Loving the outfit from @2gudindia
You look Ravishing
Hey can we collaborate for photo edits let me know you can check my work on my profile if you agree with dm me thank you
this is such a beautiful shade
@lakmeindia is one of my favorite brand
Love the pretty lippie
Wow...lovely color by @lakmeindia
I love the Lipstick of @lakmeindia
you look fab in red. love @lakmeindia
Its a lovely lipstick shade
Loving the whole look @lakmeindia
@lakmeindia and the red lipstick . What a great picture
I love their scarlet surge. Your lips look amazing.
YOU look so pretty dear
Love this picture of yours
Love the color of the lipstick.
This red lipstick looks beautiful on you
i will surely participate. you are looking stunning
I love the red shade
So beautiful neck pc. Style
Such a stunning pichaa
